nvm 0.39.7-1
ocl-icd 2.3.2-1
onetbb 2021.11.0-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencl-headers 2:2023.04.17-2
opencollada 1:1.6.68-3
opencolorio 2.3.1-2
opencore-amr 0.1.6-1
openexr 3.2.3-1
openimagedenoise 2.2.1-1
openimageio 2.5.9.0-1
openjpeg2 2.5.2-1
openmw 0.48.0-5
openpgl 0.6.0-1
openscenegraph 3.6.5-23
openshadinglanguage 1.13.7.0-3
openssh 9.7p1-1
openssl 3.2.1-1
openssl-1.1 1.1.1.w-1
opensubdiv 3.6.0-1
openvdb 11.0.0-1
openvr 2.2.3-1
openxr 1.0.33-1
opus 1.5.1-1
opusfile 0.12-3
orc 0.4.38-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-contrib 1.10.5-1
pacman-mirrorlist 20231001-1
pahole 1:1.26-1
pam 1.6.0-4
pambase 20230918-1
pango 1:1.52.1-1
pangomm 2.46.4-1
parallel 20240122-1
parted 3.6-1
patch 2.7.6-10
pciutils 3.11.1-1
pcmanfm 1.3.2-1
pcre 8.45-4
pcre2 10.43-1
pd 0.54.1-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phodav 3.0-2
pinentry 1.2.1-3
pipewire 1:1.0.4-3
pipewire-alsa 1:1.0.4-3
pipewire-audio 1:1.0.4-3
pipewire-jack 1:1.0.4-3
pipewire-pulse 1:1.0.4-3
pipewire-session-manager 1:1.0.4-3
pixman 0.43.4-1
pkgconf 2.1.1-1
pkgfile 21-2
polkit 124-2
poppler 24.03.0-1
poppler-data 0.4.12-1
poppler-glib 24.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
portmidi 1:2.0.4-1
potrace 1.16-3
procps-ng 4.0.4-3
psautohint-debug 3:2.4.0-2
psmisc 23.7-1
ptex 2.4.2-2
pugixml 1.14-1
pybind11 2.12.0-1
pyenv 1:2.3.36-1
pyside2 5.15.13-1
pyside6 6.6.2-2
pystring 1.1.4-1
python 3.11.8-1
python-annotated-types 0.6.0-1
python-appdirs 1.4.4-9
python-argcomplete 2.0.0-2
python-asttokens 2.4.1-1
python-attrs 23.2.0-1
python-autocommand 2.2.2-4
python-awscrt 0.19.19-1
python-bcrypt 4.1.2-1
python-beautifulsoup4 4.12.3-1
python-bleach 6.1.0-1
python-booleanoperations 0.9.0-7
python-brotli 1.1.0-1
python-build 1.1.1-2
python-cachecontrol 1:0.14.0-2
python-cachy 0.3.0-9
python-cairo 1.26.0-1
python-certifi 2024.02.02-1
python-cffi 1.16.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-cleo 2.1.0-1
python-colorama 0.4.6-2
python-comm 0.2.2-1
python-configobj 5.0.8-4
python-coverage 7.4.1-1
python-crashtest 0.4.1-2
python-cryptography 42.0.5-1
python-cssselect 1.2.0-4
python-dateutil 2.9.0-3
python-decorator 5.1.1-3
python-defcon 0.10.3-2
python-defusedxml 0.7.1-5
python-distlib 0.3.8-1
python-distro 1.9.0-1
python-docutils 1:0.20.1-2
python-dulwich 0.21.7-1
python-executing 2.0.0-1
python-fastbencode 0.2-2
python-fastjsonschema 2.19.1-1
python-filelock 3.13.1-1
python-fontmath 0.9.3-4
python-fontparts 0.12.1-1
python-fontpens 0.2.4-7
python-fonttools 4.50.0-1
python-fs 2.4.16-3
python-gobject 3.48.1-2
python-html5lib 1.1-13
python-idna 3.6-1
python-importlib-metadata 5.1.0-1
python-inflect 7.0.0-3
python-iniconfig 2.0.0-4
python-installer 0.7.0-4
python-ipykernel 6.29.3-2
python-isodate 0.6.1-3
python-jaraco.classes 3.3.1-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.text 3.12.0-1
python-jedi 0.19.1-1
python-jeepney 0.8.0-2
python-jinja 1:3.1.3-1
python-jmespath 1.0.1-2
python-jsonschema 4.21.1-1
python-jsonschema-specifications 2023.12.1-1
python-jupyter-client 8.6.1-1
python-jupyter-core 5.7.2-1
python-keyring 24.3.0-1
python-lark-parser 1.1.9-1
python-lockfile 0.12.2-12
python-lxml 5.1.0-1
